,gamma,mean_total_reward
81,0.4088944723618091,0.717
82,0.41381909547738693,0.732
83,0.41874371859296483,0.719
84,0.42366834170854273,0.718
85,0.4285929648241206,0.716
86,0.4335175879396985,0.737
87,0.4384422110552764,0.727
88,0.4433668341708543,0.766
89,0.44829145728643216,0.726
90,0.45321608040201006,0.734
91,0.45814070351758795,0.741
92,0.46306532663316585,0.714
93,0.46798994974874375,0.742
94,0.47291457286432165,0.719
95,0.47783919597989954,0.757
96,0.4827638190954774,0.725
97,0.4876884422110553,0.727
98,0.4926130653266332,0.729
99,0.4975376884422111,0.724
100,0.502462311557789,0.73
101,0.5073869346733668,0.73
102,0.5123115577889448,0.728
103,0.5172361809045226,0.732
104,0.5221608040201006,0.731
105,0.5270854271356784,0.721
106,0.5320100502512564,0.723
107,0.5369346733668342,0.706
108,0.541859296482412,0.697
109,0.54678391959799,0.752
110,0.5517085427135678,0.736
111,0.5566331658291458,0.764
112,0.5615577889447236,0.709
113,0.5664824120603016,0.741
114,0.5714070351758794,0.741
115,0.5763316582914573,0.728
116,0.5812562814070352,0.748
117,0.5861809045226131,0.741
118,0.591105527638191,0.739
119,0.5960301507537689,0.701
120,0.6009547738693468,0.75
121,0.6058793969849247,0.701
122,0.6108040201005025,0.731
123,0.6157286432160805,0.735
124,0.6206532663316583,0.747
125,0.6255778894472362,0.725
126,0.6305025125628141,0.711
127,0.635427135678392,0.714
128,0.6403517587939699,0.703
129,0.6452763819095477,0.735
130,0.6502010050251257,0.729
131,0.6551256281407035,0.729
132,0.6600502512562815,0.766
133,0.6649748743718593,0.736
134,0.6698994974874373,0.725
135,0.6748241206030151,0.722
136,0.679748743718593,0.732
137,0.6846733668341709,0.74
138,0.6895979899497487,0.723
139,0.6945226130653267,0.728
140,0.6994472361809045,0.725
141,0.7043718592964825,0.738
142,0.7092964824120603,0.726
143,0.7142211055276382,0.728
144,0.7191457286432161,0.718
145,0.724070351758794,0.712
146,0.7289949748743719,0.719
147,0.7339195979899498,0.732
148,0.7388442211055277,0.725
149,0.7437688442211056,0.735
150,0.7486934673366834,0.747
151,0.7536180904522614,0.72
152,0.7585427135678392,0.748
153,0.7634673366834172,0.731
154,0.768391959798995,0.727
155,0.773316582914573,0.726
156,0.7782412060301508,0.739
157,0.7831658291457286,0.726
158,0.7880904522613066,0.722
159,0.7930150753768844,0.751
160,0.7979396984924624,0.749
161,0.8028643216080402,0.735
162,0.8077889447236182,0.744
163,0.812713567839196,0.729
164,0.8176381909547739,0.727
165,0.8225628140703518,0.747
166,0.8274874371859297,0.754
167,0.8324120603015076,0.748
168,0.8373366834170854,0.729
169,0.8422613065326634,0.738
170,0.8471859296482412,0.744
171,0.8521105527638191,0.732
172,0.857035175879397,0.745
173,0.8619597989949749,0.766
174,0.8668844221105528,0.773
175,0.8718090452261307,0.733
176,0.8767336683417086,0.738
177,0.8816582914572865,0.748
178,0.8865829145728643,0.727
179,0.8915075376884423,0.722
180,0.8964321608040201,0.766
181,0.9013567839195981,0.722
182,0.9062814070351759,0.736
183,0.9112060301507539,0.752
184,0.9161306532663317,0.744
185,0.9210552763819095,0.72
186,0.9259798994974875,0.769
187,0.9309045226130653,0.738
188,0.9358291457286433,0.757
189,0.9407537688442211,0.726
190,0.9456783919597991,0.717
191,0.9506030150753769,0.732
192,0.9555276381909548,0.745
193,0.9604522613065327,0.716
194,0.9653768844221106,0.726
195,0.9703015075376885,0.746
196,0.9752261306532664,0.754
197,0.9801507537688443,0.711
198,0.9850753768844221,0.732
199,0.99,0.871
